,Topic,Count,Name,Keywords
0,-1,21,-1_통화_암호화폐_디지털_발행,통화 암호화폐 디지털 발행 화폐 중앙은행 은행 사이버 보안 가상화폐
1,0,46,0_블록체인_핀테크_인공지능_데이터,블록체인 핀테크 인공지능 데이터 혁신 디지털 은행 암호화폐 비트코인 인터넷
2,1,26,1_지급결제_은행_카드_발행,지급결제 은행 카드 발행 무현금 혁신 한국은행 환어음 가상자산 분산원장기술
