,Topic,Count,Name,Keywords
0,0,53,0_금융_결제_서비스_기술,금융 결제 서비스 기술 지급결제 시스템 은행 제도 규제 변화
1,-1,27,-1_금융_핀테크_인공지능_서비스,금융 핀테크 인공지능 서비스 기술 활용 거래 결제 데이터 산업
2,1,13,1_블록체인_기술_금융_가능,블록체인 기술 금융 가능 분야 활용 계약 기관 기록 결제
