,Topic,Count,Name,Keywords
0,-1,66,-1_bank_technology_transaction_innovation,bank technology transaction innovation infrastructure scheme card psd2 fraud realtime
1,0,41,0_bank_infrastructure_fintech_technology,bank infrastructure fintech technology innovation platforms swift ecosystem speed rtgs
2,1,29,1_currency_bank_asset_technology,currency bank asset technology cbdc blockchain euro create claims token
3,2,28,2_card_fraud_security_transaction,card fraud security transaction wallet merchants account credit cent cyber
